ZINC_ID,Binding Affinity (kcal/mol)
ZINC000000000607,-6.8
ZINC000000000607,-6.8
ZINC000000000607,-6.8
ZINC000000000607,-7.2
ZINC000000000607,-6.8
ZINC000000000607,-6.8
ZINC000000000607,-6.9
ZINC000000000609,-6.9
ZINC000000000609,-6.6
ZINC000000000633,-7.6
ZINC000000000633,-7.6
ZINC000000000633,-7.7
ZINC000000000633,-7.6
ZINC000000000633,-7.5
ZINC000000000637,-6.3
ZINC000000000637,-6.6
ZINC000000000641,-8.1
ZINC000000000652,-7.0
ZINC000000000652,-7.1
ZINC000000000652,-7.0
ZINC000000000652,-7.0
ZINC000000000652,-7.1
ZINC000000000652,-7.0
ZINC000000000652,-7.1
ZINC000000000655,-9.9
ZINC000000000655,-8.9
ZINC000000000655,-8.6
ZINC000000000655,-9.2
ZINC000000000655,-8.1
ZINC000000000669,-8.2
ZINC000000000669,-8.4
ZINC000000000669,-8.3
ZINC000000000669,-7.7
ZINC000000000669,-8.3
ZINC000000000677,-8.7
ZINC000000000677,-8.4
ZINC000000000677,-8.8
ZINC000000000677,-8.9
ZINC000000000677,-8.8
ZINC000000000677,-8.8
ZINC000000000677,-8.8
ZINC000000000677,-8.7
ZINC000000000677,-8.9
ZINC000000000677,-8.8
ZINC000000000677,-8.7
ZINC000000000677,-8.8
ZINC000000000677,-8.8
ZINC000000000677,-8.8
ZINC000000000677,-8.7
ZINC000000000677,-8.7
ZINC000000000677,-8.7
ZINC000000000677,-8.7
ZINC000000000686,-7.2
ZINC000000000686,-7.2
ZINC000000000686,-7.2
ZINC000000000688,-8.5
ZINC000000000688,-8.2
ZINC000000000688,-8.5
ZINC000000000688,-8.5
ZINC000000000688,-8.4
ZINC000000000693,-6.3
ZINC000000000693,-6.1
ZINC000000000693,-6.2
ZINC000000000711,-5.7
ZINC000000000711,-5.7
ZINC000000000711,-5.7
ZINC000000000711,-5.6
ZINC000000000724,-7.7
ZINC000000000724,-7.6
ZINC000000000724,-7.5
ZINC000000000724,-7.6
ZINC000000000740,-7.7
ZINC000000000740,-8.2
ZINC000000000746,-7.0
ZINC000000000746,-7.0
ZINC000000000746,-7.0
ZINC000000000747,-8.1
ZINC000000000747,-8.2
ZINC000000000751,-7.7
ZINC000000000751,-7.8
ZINC000000000751,-8.2
ZINC000000000751,-7.7
ZINC000000000751,-7.9
ZINC000000000751,-7.8
ZINC000000000751,-7.8
ZINC000000000751,-7.9
ZINC000000000767,-8.3
ZINC000000000767,-8.4
ZINC000000000767,-8.4
ZINC000000000767,-8.3
ZINC000000000786,-6.6
ZINC000000000786,-6.8
ZINC000000000797,-9.5
ZINC000000000797,-9.5
ZINC000000000797,-9.2
ZINC000000000797,-9.5
ZINC000000000797,-9.4
